"","parameter","type","resample","distribution_type","mean","two_sigma","lower_limit","upper_limit","calib"
"1","Sr","time array",TRUE,"uniform",0.5,NA,"0",1,1
"2","d13C","time array",TRUE,"uniform",0.5,NA,"0",1,0
"3","d34S","time array",TRUE,"uniform",0.5,NA,"0",1,0
"4","fR","time array",TRUE,"uniform",0.5,NA,"0",1,1
"5","fL","time array",TRUE,"uniform",0.5,NA,"0",1,0
"6","fA","time array",TRUE,"uniform",0.5,NA,"0",1,1
"7","fD","time array",TRUE,"uniform",0.5,NA,"0",1,1
"8","fAw_fA","time array",TRUE,"uniform",0.5,NA,"0",1,1
"9","RT","time array",TRUE,"uniform",0.5,NA,"0",1,1
"10","GEOG","time array",TRUE,"uniform",0.5,NA,"0",1,1
"11","fSR","time array",TRUE,"uniform",0.5,NA,"0",1,1
"12","fC","time array",TRUE,"uniform",0.5,NA,"0",1,1
"13","ACT","constant",TRUE,"gaussian",0.09,0.045,"0",Inf,1
"14","ACTcarb","constant",TRUE,"gaussian",0.087,0.0435,"0",Inf,0
"15","VNV","constant",TRUE,"gaussian",5,2.5,"0",Inf,1
"16","NV","constant",TRUE,"gaussian",0.0075,0.00375,"0",Inf,1
"17","exp_NV","constant",TRUE,"gaussian",0.67,0.335,"0",Inf,1
"18","LIFE","constant",TRUE,"gaussian",0.25,0.125,"0",Inf,0
"19","GYM","constant",TRUE,"gaussian",0.875,0.415625,"0",Inf,1
"20","FERT","constant",TRUE,"gaussian",0.4,0.2,"0",1,1
"21","exp_fnBb","constant",TRUE,"gaussian",0.5,0.125,"0",Inf,0
"22","deltaT2X","constant",TRUE,"lognormal",3,2.5,"1.5",Inf,1
"23","GLAC","constant",TRUE,"gaussian",2,1,"1",Inf,1
"24","J","constant",TRUE,"gaussian",4,2,"0",Inf,0
"25","n","constant",TRUE,"gaussian",1,0.5,"0",Inf,0
"26","Ws","constant",TRUE,"gaussian",7.4,3.7,"_inf",Inf,1
"27","exp_fD","constant",TRUE,"gaussian",0.65,0.325,"0",Inf,1
"28","Fwpa_0","constant",TRUE,"gaussian",0.25,0.125,"0",Inf,0
"29","Fwsa_0","constant",TRUE,"gaussian",0.5,0.25,"0",Inf,0
"30","Fwga_0","constant",TRUE,"gaussian",0.5,0.25,"0",Inf,0
"31","Fwca_0","constant",TRUE,"gaussian",2,1,"0",Inf,0
"32","Fmg_0","constant",TRUE,"gaussian",1.25,0.625,"0",Inf,0
"33","Fmc_0","constant",TRUE,"gaussian",6.67,1.50075,"0",Inf,1
"34","Fmp_0","constant",TRUE,"gaussian",0.25,0.125,"0",Inf,0
"35","Fms_0","constant",TRUE,"gaussian",0.5,0.25,"0",Inf,0
"36","Fwsi_0","constant",TRUE,"gaussian",6.67,0.83375,"0",Inf,1
"37","Xvolc_0","constant",TRUE,"gaussian",0.35,0.07875,"0",1,1
"38","CAPd13C_0","constant",TRUE,"gaussian",27,1.89,"0",Inf,0
"39","CAPd34S_0","constant",TRUE,"gaussian",35,4.7,"0",Inf,0
"40","oxygen_570","constant",TRUE,"gaussian",25,12.5,"7.5",143,0
"41","Gy_570","constant",TRUE,"gaussian",250,62.5,"0",Inf,0
"42","Cy_570","constant",TRUE,"gaussian",1000,475,"0",Inf,0
"43","Ca_570","constant",TRUE,"gaussian",4000,1300,"0",Inf,0
"44","Ssy_570","constant",TRUE,"gaussian",150,56.25,"0",Inf,0
"45","Spy_570","constant",TRUE,"gaussian",20,10,"0",Inf,0
"46","dlsy_570","constant",TRUE,"gaussian",35,4.7,"_inf",Inf,0
"47","dlcy_570","constant",TRUE,"gaussian",3,2.1,"_inf",Inf,0
"48","dlpy_570","constant",TRUE,"gaussian",-10,4.7,"_inf",Inf,0
"49","dlpa_570","constant",TRUE,"gaussian",-10,4.7,"_inf",Inf,0
"50","dlgy_570","constant",TRUE,"gaussian",-23.5,2.1,"_inf",Inf,0
"51","dlga_570","constant",TRUE,"gaussian",-23.5,2.1,"_inf",Inf,0
"52","Rcy_570","constant",TRUE,"gaussian",0.7095,0.0021,"_inf",Inf,0
"53","Rca_570","constant",TRUE,"gaussian",0.709,0.0021,"_inf",Inf,1
"54","Rv_570","constant",TRUE,"gaussian",0.704,0.001365,"_inf",Inf,1
"55","Rg_570","constant",TRUE,"gaussian",0.722,0.0021,"_inf",Inf,1
"56","Fob","constant",TRUE,"gaussian",4,2,"0",Inf,1
"57","COC","constant",TRUE,"gaussian",2,1,"0",Inf,0
"58","Ga","constant",TRUE,"gaussian",1000,75,"0",Inf,0
"59","Ssa","constant",TRUE,"gaussian",150,75,"0",Inf,0
"60","Spa","constant",TRUE,"gaussian",280,140,"0",Inf,0
"61","ST","constant",TRUE,"gaussian",600,300,"0",Inf,0
"62","dlst","constant",TRUE,"gaussian",4,3.055,"_inf",Inf,0
"63","CT","constant",TRUE,"gaussian",6252,468.9,"0",Inf,0
"64","dlct","constant",TRUE,"gaussian",-3.5,0.252,"_inf",Inf,0
"65","kwpy","constant",TRUE,"gaussian",0.01,0.005,"0",Inf,0
"66","kwsy","constant",TRUE,"gaussian",0.01,0.005,"0",Inf,0
"67","kwgy","constant",TRUE,"gaussian",0.018,0.009,"0",Inf,0
"68","kwcy","constant",TRUE,"gaussian",0.018,0.009,"0",Inf,1
"69","stdev","constant",TRUE,"lognormal",450,2.044488,"0",Inf,0
